time of writing,name of the test file,number of accepting traces,number or rejecting traces,depth of formula,number of variables,max length of traces,specified formula,dt solving time,dt num primitive candidates,dt num primitives used,dt subset sizes,dt tree txt representation
2018-05-20 11:04,traces/generated/freshTests/0070.trace,50,50,4,3,5,"G(->(x1,G(!(x0))))",35.9403614490293,20,7,3,experiments/dtStrategy1SubsetSize3/0070_tree.txt
2018-05-20 11:05,traces/generated/freshTests/0173.trace,8,100,6,4,8,"G(&(x0,->(!(x1),U(!(x1),&(x2,!(x1))))))",2.075594025896862,2,1,3,experiments/dtStrategy1SubsetSize3/0173_tree.txt
2018-05-20 11:05,traces/generated/freshTests/0257.trace,400,400,2,3,8,"->(F(x1),U(x0,x1))",198.57835328415968,25,1,3,experiments/dtStrategy1SubsetSize3/0257_tree.txt
2018-05-20 11:08,traces/generated/freshTests/0238.trace,100,100,2,3,5,"->(F(x1),U(x0,x1))",8.965486579108983,10,2,3,experiments/dtStrategy1SubsetSize3/0238_tree.txt
2018-05-20 11:08,traces/generated/freshTests/0051.trace,300,300,3,3,3,"->(F(x1),U(!(x0),x1))",9.651429028948769,7,6,3,experiments/dtStrategy1SubsetSize3/0051_tree.txt
2018-05-20 11:08,traces/generated/freshTests/0219.trace,350,350,1,2,3,G(x0),8.34144231909886,2,1,3,experiments/dtStrategy1SubsetSize3/0219_tree.txt
2018-05-20 11:09,traces/generated/freshTests/0152.trace,300,67,1,2,8,F(x0),3.4659598481375724,3,1,3,experiments/dtStrategy1SubsetSize3/0152_tree.txt
2018-05-20 11:09,traces/generated/freshTests/0276.trace,200,200,3,3,3,"G(->(x1,G(x0)))",15.60617802804336,19,8,3,experiments/dtStrategy1SubsetSize3/0276_tree.txt
2018-05-20 11:09,traces/generated/freshTests/0215.trace,50,250,1,2,8,G(x0),2.6249927890021354,2,1,3,experiments/dtStrategy1SubsetSize3/0215_tree.txt
2018-05-20 11:09,traces/generated/freshTests/0131.trace,500,271,4,3,8,"|(G(!(x0)),F(&(x0,F(x1))))",136.47166608902626,27,4,3,experiments/dtStrategy1SubsetSize3/0131_tree.txt
2018-05-20 11:11,traces/generated/freshTests/0287.trace,235,350,3,3,8,"G(->(x1,G(x0)))",189.20052790199406,39,3,3,experiments/dtStrategy1SubsetSize3/0287_tree.txt
2018-05-20 11:14,traces/generated/freshTests/0032.trace,109,500,2,2,8,G(!(x0)),11.71910512400791,5,1,3,experiments/dtStrategy1SubsetSize3/0032_tree.txt
2018-05-20 11:15,traces/generated/freshTests/0182.trace,9,250,6,4,8,"G(&(x0,->(!(x1),U(!(x1),&(x2,!(x1))))))",1.9525808938778937,4,1,3,experiments/dtStrategy1SubsetSize3/0182_tree.txt
2018-05-20 11:15,traces/generated/freshTests/0234.trace,50,50,2,3,3,"->(F(x1),U(x0,x1))",4.345091616967693,4,2,3,experiments/dtStrategy1SubsetSize3/0234_tree.txt
2018-05-20 11:15,traces/generated/freshTests/0110.trace,150,80,4,3,8,"|(G(!(x0)),F(&(x0,F(x1))))",72.64575945795514,25,9,3,experiments/dtStrategy1SubsetSize3/0110_tree.txt
2018-05-20 11:16,traces/generated/freshTests/0013.trace,200,200,2,2,5,G(!(x0)),7.7235781259369105,4,1,3,experiments/dtStrategy1SubsetSize3/0013_tree.txt
2018-05-20 11:16,traces/generated/freshTests/0081.trace,250,250,4,3,3,"G(->(x1,G(!(x0))))",19.56909495498985,14,5,3,experiments/dtStrategy1SubsetSize3/0081_tree.txt
2018-05-20 11:16,traces/generated/freshTests/0047.trace,200,200,3,3,8,"->(F(x1),U(!(x0),x1))",89.84579131007195,21,1,3,experiments/dtStrategy1SubsetSize3/0047_tree.txt
2018-05-20 11:18,traces/generated/freshTests/0028.trace,450,450,2,2,5,G(!(x0)),19.318719536997378,4,1,3,experiments/dtStrategy1SubsetSize3/0028_tree.txt
2018-05-20 11:18,traces/generated/freshTests/0260.trace,450,450,2,3,8,"->(F(x1),U(x0,x1))",25.363194627920166,6,1,3,experiments/dtStrategy1SubsetSize3/0260_tree.txt
2018-05-20 11:19,traces/generated/freshTests/0144.trace,200,200,1,2,3,F(x0),3.1342716210056096,2,1,3,experiments/dtStrategy1SubsetSize3/0144_tree.txt
2018-05-20 11:19,traces/generated/freshTests/0009.trace,150,150,2,2,3,G(!(x0)),4.52257652184926,4,1,3,experiments/dtStrategy1SubsetSize3/0009_tree.txt
2018-05-20 11:19,traces/generated/freshTests/0066.trace,5,5,4,3,3,"G(->(x1,G(!(x0))))",6.301693218993023,9,2,3,experiments/dtStrategy1SubsetSize3/0066_tree.txt
2018-05-20 11:19,traces/generated/freshTests/0241.trace,150,150,2,3,5,"->(F(x1),U(x0,x1))",5.835331856040284,5,2,3,experiments/dtStrategy1SubsetSize3/0241_tree.txt
2018-05-20 11:19,traces/generated/freshTests/0165.trace,5,5,6,4,3,"G(&(x0,->(!(x1),U(!(x1),&(x2,!(x1))))))",0.9917913069948554,3,1,3,experiments/dtStrategy1SubsetSize3/0165_tree.txt
2018-05-20 11:19,traces/generated/freshTests/0198.trace,5,5,1,2,3,G(x0),0.8425940780434757,1,1,3,experiments/dtStrategy1SubsetSize3/0198_tree.txt
2018-05-20 11:19,traces/generated/freshTests/0169.trace,33,50,6,4,5,"G(&(x0,->(!(x1),U(!(x1),&(x2,!(x1))))))",11.774538947967812,11,4,3,experiments/dtStrategy1SubsetSize3/0169_tree.txt
2018-05-20 11:19,traces/generated/freshTests/0194.trace,17,450,6,4,8,"G(&(x0,->(!(x1),U(!(x1),&(x2,!(x1))))))",68.92661732900888,18,7,3,experiments/dtStrategy1SubsetSize3/0194_tree.txt
2018-05-20 11:20,traces/generated/freshTests/0106.trace,100,100,4,3,5,"|(G(!(x0)),F(&(x0,F(x1))))",24.69873959477991,20,4,3,experiments/dtStrategy1SubsetSize3/0106_tree.txt
2018-05-20 11:21,traces/generated/freshTests/0222.trace,400,400,1,2,3,G(x0),9.039743040921167,3,1,3,experiments/dtStrategy1SubsetSize3/0222_tree.txt
2018-05-20 11:21,traces/generated/freshTests/0005.trace,7,50,2,2,8,G(!(x0)),8.057608441915363,4,1,3,experiments/dtStrategy1SubsetSize3/0005_tree.txt
2018-05-20 11:21,traces/generated/freshTests/0097.trace,500,500,4,3,5,"G(->(x1,G(!(x0))))",157.58932153205387,42,15,3,experiments/dtStrategy1SubsetSize3/0097_tree.txt
2018-05-20 11:24,traces/generated/freshTests/0127.trace,450,450,4,3,5,"|(G(!(x0)),F(&(x0,F(x1))))",149.87969563901424,40,9,3,experiments/dtStrategy1SubsetSize3/0127_tree.txt
2018-05-20 11:26,traces/generated/freshTests/0203.trace,13,50,1,2,8,G(x0),2.8195010039489716,1,1,3,experiments/dtStrategy1SubsetSize3/0203_tree.txt
2018-05-20 11:26,traces/generated/freshTests/0291.trace,450,450,3,3,3,"G(->(x1,G(x0)))",15.834533349145204,14,1,3,experiments/dtStrategy1SubsetSize3/0291_tree.txt
2018-05-20 11:27,traces/generated/freshTests/0148.trace,250,250,1,2,5,F(x0),4.9970886970404536,2,1,3,experiments/dtStrategy1SubsetSize3/0148_tree.txt
2018-05-20 11:27,traces/generated/freshTests/0024.trace,400,400,2,2,3,G(!(x0)),12.877324630971998,5,1,3,experiments/dtStrategy1SubsetSize3/0024_tree.txt
2018-05-20 11:27,traces/generated/freshTests/0256.trace,400,400,2,3,5,"->(F(x1),U(x0,x1))",14.025104331085458,9,2,3,experiments/dtStrategy1SubsetSize3/0256_tree.txt
2018-05-20 11:27,traces/generated/freshTests/0172.trace,71,100,6,4,5,"G(&(x0,->(!(x1),U(!(x1),&(x2,!(x1))))))",1.806610668078065,3,1,3,experiments/dtStrategy1SubsetSize3/0172_tree.txt
2018-05-20 11:27,traces/generated/freshTests/0239.trace,100,100,2,3,8,"->(F(x1),U(x0,x1))",4.426229590084404,7,1,3,experiments/dtStrategy1SubsetSize3/0239_tree.txt
2018-05-20 11:27,traces/generated/freshTests/0071.trace,40,50,4,3,8,"G(->(x1,G(!(x0))))",54.38979057292454,13,4,3,experiments/dtStrategy1SubsetSize3/0071_tree.txt
2018-05-20 11:28,traces/generated/freshTests/0218.trace,58,300,1,2,8,G(x0),3.0615996848791838,2,1,3,experiments/dtStrategy1SubsetSize3/0218_tree.txt
2018-05-20 11:28,traces/generated/freshTests/0277.trace,200,200,3,3,5,"G(->(x1,G(x0)))",36.0164257499855,19,7,3,experiments/dtStrategy1SubsetSize3/0277_tree.txt
2018-05-20 11:29,traces/generated/freshTests/0153.trace,350,350,1,2,3,F(x0),6.876084826886654,3,1,3,experiments/dtStrategy1SubsetSize3/0153_tree.txt
2018-05-20 11:29,traces/generated/freshTests/0050.trace,250,250,3,3,8,"->(F(x1),U(!(x0),x1))",13.747426918940619,5,1,3,experiments/dtStrategy1SubsetSize3/0050_tree.txt
2018-05-20 11:29,traces/generated/freshTests/0033.trace,5,5,3,3,3,"->(F(x1),U(!(x0),x1))",4.853192873997614,7,2,3,experiments/dtStrategy1SubsetSize3/0033_tree.txt
2018-05-20 11:29,traces/generated/freshTests/0130.trace,500,500,4,3,5,"|(G(!(x0)),F(&(x0,F(x1))))",124.36240239604376,28,8,3,experiments/dtStrategy1SubsetSize3/0130_tree.txt
2018-05-20 11:31,traces/generated/freshTests/0214.trace,250,250,1,2,5,G(x0),3.7846785641741008,3,1,3,experiments/dtStrategy1SubsetSize3/0214_tree.txt
2018-05-20 11:31,traces/generated/freshTests/0286.trace,350,350,3,3,5,"G(->(x1,G(x0)))",18.074411378009245,14,6,3,experiments/dtStrategy1SubsetSize3/0286_tree.txt
2018-05-20 11:32,traces/generated/freshTests/0012.trace,200,200,2,2,3,G(!(x0)),3.6197642949409783,6,1,3,experiments/dtStrategy1SubsetSize3/0012_tree.txt
2018-05-20 11:32,traces/generated/freshTests/0080.trace,140,200,4,3,8,"G(->(x1,G(!(x0))))",218.42080825101584,43,6,3,experiments/dtStrategy1SubsetSize3/0080_tree.txt
2018-05-20 11:35,traces/generated/freshTests/0183.trace,300,300,6,4,3,"G(&(x0,->(!(x1),U(!(x1),&(x2,!(x1))))))",107.32929573906586,39,10,3,experiments/dtStrategy1SubsetSize3/0183_tree.txt
2018-05-20 11:37,traces/generated/freshTests/0111.trace,200,200,4,3,3,"|(G(!(x0)),F(&(x0,F(x1))))",23.944231573026627,22,3,3,experiments/dtStrategy1SubsetSize3/0111_tree.txt
2018-05-20 11:38,traces/generated/freshTests/0235.trace,50,50,2,3,5,"->(F(x1),U(x0,x1))",8.162831272929907,6,1,3,experiments/dtStrategy1SubsetSize3/0235_tree.txt
2018-05-20 11:38,traces/generated/freshTests/0145.trace,200,200,1,2,5,F(x0),3.490308669861406,2,1,3,experiments/dtStrategy1SubsetSize3/0145_tree.txt
2018-05-20 11:38,traces/generated/freshTests/0261.trace,500,500,2,3,3,"->(F(x1),U(x0,x1))",13.417536051943898,8,2,3,experiments/dtStrategy1SubsetSize3/0261_tree.txt
2018-05-20 11:38,traces/generated/freshTests/0046.trace,200,200,3,3,5,"->(F(x1),U(!(x0),x1))",31.525090422015637,17,2,3,experiments/dtStrategy1SubsetSize3/0046_tree.txt
2018-05-20 11:38,traces/generated/freshTests/0029.trace,85,450,2,2,8,G(!(x0)),11.186083612032235,6,1,3,experiments/dtStrategy1SubsetSize3/0029_tree.txt
2018-05-20 11:39,traces/generated/freshTests/0199.trace,5,5,1,2,5,G(x0),1.5964825239498168,1,1,3,experiments/dtStrategy1SubsetSize3/0199_tree.txt
2018-05-20 11:39,traces/generated/freshTests/0164.trace,500,98,1,2,8,F(x0),4.842859128024429,2,1,3,experiments/dtStrategy1SubsetSize3/0164_tree.txt
2018-05-20 11:39,traces/generated/freshTests/0240.trace,150,150,2,3,3,"->(F(x1),U(x0,x1))",3.9599889367818832,7,2,3,experiments/dtStrategy1SubsetSize3/0240_tree.txt
2018-05-20 11:39,traces/generated/freshTests/0008.trace,21,100,2,2,8,G(!(x0)),7.945328598143533,4,1,3,experiments/dtStrategy1SubsetSize3/0008_tree.txt
2018-05-20 11:39,traces/generated/freshTests/0067.trace,5,5,4,3,5,"G(->(x1,G(!(x0))))",24.991629384923726,7,1,3,experiments/dtStrategy1SubsetSize3/0067_tree.txt
2018-05-20 11:39,traces/generated/freshTests/0004.trace,50,50,2,2,5,G(!(x0)),5.775887252995744,2,1,3,experiments/dtStrategy1SubsetSize3/0004_tree.txt
2018-05-20 11:39,traces/generated/freshTests/0096.trace,500,500,4,3,3,"G(->(x1,G(!(x0))))",20.92265739105642,15,9,3,experiments/dtStrategy1SubsetSize3/0096_tree.txt
2018-05-20 11:40,traces/generated/freshTests/0195.trace,500,500,6,4,3,"G(&(x0,->(!(x1),U(!(x1),&(x2,!(x1))))))",406.96779695991427,63,18,3,experiments/dtStrategy1SubsetSize3/0195_tree.txt
2018-05-20 11:47,traces/generated/freshTests/0168.trace,50,50,6,4,3,"G(&(x0,->(!(x1),U(!(x1),&(x2,!(x1))))))",5.050213966984302,11,5,3,experiments/dtStrategy1SubsetSize3/0168_tree.txt
2018-05-20 11:47,traces/generated/freshTests/0223.trace,400,400,1,2,5,G(x0),9.31115518300794,3,1,3,experiments/dtStrategy1SubsetSize3/0223_tree.txt
2018-05-20 11:47,traces/generated/freshTests/0107.trace,100,53,4,3,8,"|(G(!(x0)),F(&(x0,F(x1))))",49.07396240206435,19,6,3,experiments/dtStrategy1SubsetSize3/0107_tree.txt
2018-05-20 11:48,traces/generated/freshTests/0025.trace,400,400,2,2,5,G(!(x0)),12.45888342987746,6,1,3,experiments/dtStrategy1SubsetSize3/0025_tree.txt
2018-05-20 11:48,traces/generated/freshTests/0202.trace,50,50,1,2,5,G(x0),1.3815730051137507,2,1,3,experiments/dtStrategy1SubsetSize3/0202_tree.txt
2018-05-20 11:48,traces/generated/freshTests/0126.trace,450,450,4,3,3,"|(G(!(x0)),F(&(x0,F(x1))))",22.673469399102032,15,7,3,experiments/dtStrategy1SubsetSize3/0126_tree.txt
2018-05-20 11:48,traces/generated/freshTests/0149.trace,250,55,1,2,8,F(x0),3.2116582591552287,2,1,3,experiments/dtStrategy1SubsetSize3/0149_tree.txt
